rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
-1209.0625,27,2298.25,0.9126664999999999,9193,4,328,,,
-1198.2825,28,2293.25,0.8257130000000003,18346,8,650,,,
-1209.5075000000002,29,2301.1666666666665,0.7376669999999997,27614,12,944,,,
-1213.8156249999997,30,2301.125,0.6502289999999998,36818,16,1215,,,
-1212.0919999999999,30,2299.55,0.5630855,45991,20,1484,,,
-1224.91875,31,2308.125,0.4737475000000003,55395,24,1777,1348,0.10399600118398666,0.0001
-1186.4260714285715,30,2298.3928571428573,0.38862750000000057,64355,28,2078,3588,0.12221238017082214,0.0001
-1155.1121875,30,2293.625,0.30273799999999984,73396,32,2389,5848,0.12064952403306961,0.0001
-1125.7033333333334,30,2282.3333333333335,0.21944199999999991,82164,36,2674,8040,0.10232916474342346,0.0001
-1099.2935,30,2273.35,0.13612700000000044,90934,40,2959,10233,0.1010160893201828,0.0001
-1077.891818181818,30,2266.068181818182,0.052783500000000094,99707,44,3271,12426,0.15140783786773682,0.0001
-1059.0237499999998,30,2256.6875,0.05,108321,48,3572,14580,0.11954252421855927,0.0001
-1048.0696153846152,30,2253.769230769231,0.05,117196,52,3870,16798,0.1011284813284874,0.0001
